Company,Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
Boeing,2007-09-30,105.2,105.96,104.23,104.99,4549500,0,1,80.08079556,80.65932603,79.342408,79.92093846,4549500
Boeing,2007-08-31,98,98.58,96.7,96.7,3963100,0,1,74.59998066,75.04149075,73.61038908,73.61038908,3963100
Boeing,2007-07-31,106.54,106.54,103.31,103.43,6895500,0,1,80.82543791,80.82543791,78.37503277,78.46606949,6895500
Boeing,2007-06-30,95.36,96.34,95.25,96.16,5786300,0,1,72.34384982,73.08731639,72.26039949,72.95076131,5786300
Boeing,2007-05-31,100.69,100.96,100.47,100.59,4235500,0,1,76.38739763,76.59223026,76.22049697,76.31153369,4235500
Boeing,2007-04-30,94.02,94.11,92.85,93,3751400,0,1,71.06290215,71.13092663,70.17858397,70.2919581,3751400
Boeing,2007-03-31,89.62,90.07,88.65,88.91,4588200,0,1,67.73726112,68.0773835,67.00410844,67.20062359,4588200
Boeing,2007-02-28,87.4,88.41,86.05,87.26,6093600,0,1,66.05932406,66.82270984,65.03895693,65.95350821,6093600
Boeing,2007-01-31,89.25,90.34,89,89.56,11568600,0,1,67.19729445,68.01796729,67.00906674,67.43069682,11568600
CocaCola,2017-12-31,45.7,46.18,45.6925,45.88,8371536,0,1,45.7,46.18,45.6925,45.88,8371536
CocaCola,2017-11-30,45.14,45.84,45.03,45.77,17147538,0.37,1,45.14,45.84,45.03,45.77,17147538
CocaCola,2017-10-31,45.92,46.17,45.84,45.98,6560545,0,1,45.5517642,45.79975943,45.47240572,45.61128305,6560545
CocaCola,2017-09-30,44.86,45.11,44.79,45.01,10082221,0,1,44.50026441,44.74825964,44.43082575,44.64906155,10082221
CocaCola,2017-08-31,45.4,45.65,45.34,45.55,14264572,0,1,44.67742947,44.92345056,44.61838441,44.82504213,14264572
CocaCola,2017-07-31,46,46.0762,45.79,45.84,13622891,0,1,45.26788008,45.34286731,45.06122237,45.11042659,13622891
CocaCola,2017-06-30,44.89,45.12,44.85,44.85,9352785,0,1,44.17554646,44.40188586,44.13618308,44.13618308,9352785
CocaCola,2017-05-31,45.43,45.7,45.37,45.47,14148040,0,1,44.34260019,44.60613755,44.28403634,44.38164276,14148040
CocaCola,2017-04-30,42.96,43.2,42.85,43.15,10337768,0,1,41.93172142,42.16597685,41.82435435,42.11717364,10337768
CocaCola,2017-03-31,42.55,42.65,42.43,42.44,11551767,0,1,41.53153507,41.6291415,41.41440736,41.424168,11551767
CocaCola,2017-02-28,41.68,42.07,41.64,41.96,15946431,0,1,40.32734799,40.70469122,40.28864612,40.59826108,15946431
CocaCola,2017-01-31,41.39,41.685,41.36,41.57,12665523,0,1,40.04675944,40.33218573,40.01773304,40.22091785,12665523
CocaCola,2016-12-31,41.69,41.84,41.35,41.46,11470189,0,1,40.33702346,40.48215547,40.00805757,40.11448771,11470189
CocaCola,2016-11-30,41,41.2,40.35,40.35,22409697,0,1,39.66941621,39.86292556,39.04051083,39.04051083,22409697
CocaCola,2016-10-31,42.12,42.41,42.12,42.4,13327475,0,1,40.40936798,40.68759012,40.40936798,40.67799626,13327475
CocaCola,2016-09-30,42.21,42.5,42.06,42.32,14333069,0,1,40.49571278,40.77393493,40.35180478,40.60124532,14333069
CocaCola,2016-08-31,43.43,43.46,43.08,43.43,10217936,0,1,41.32407783,41.35262313,40.99104934,41.32407783,10217936
CocaCola,2016-07-31,43.72,43.75,43.48,43.63,16529298,0,1,41.60001572,41.62856102,41.37165332,41.51437982,16529298
CocaCola,2016-06-30,44.52,45.33,44.49,45.33,16056522,0,1,42.36122369,43.13194676,42.33267839,43.13194676,16056522
CocaCola,2016-05-31,44.98,44.98,44.26,44.6,18935249,0,1,42.46947861,42.46947861,41.78966481,42.110688,18935249
CocaCola,2016-04-30,44.53,44.86,44.5,44.8,11716045,0,1,42.04459499,42.35617631,42.01626941,42.29952516,11716045
CocaCola,2016-03-31,46.55,46.88,46.32,46.39,15541054,0,1,43.95185036,44.26343169,43.73468762,43.80078063,15541054
CocaCola,2016-02-29,43.17,43.6081,42.92,43.13,15026653,0,1,40.44730411,40.85777351,40.2130714,40.40982688,15026653
CocaCola,2016-01-31,42.86,43.26,42.65,42.92,20456815,0,1,40.15685555,40.53162788,39.96010008,40.2130714,20456815
CocaCola,2015-12-31,43.3,43.34,42.87,42.96,9727407,0,1,40.56910512,40.60658235,40.16622486,40.25054863,9727407
CocaCola,2015-11-30,43.12,43.15,42.605,42.62,16055427,0,1,40.40045757,40.42856549,39.91793819,39.93199215,16055427
CocaCola,2015-10-31,42.8,42.86,42.35,42.35,15356150,0,1,39.79628802,39.85207721,39.3778691,39.3778691,15356150
CocaCola,2015-09-30,39.88,40.23,39.8,40.12,19504072,0,1,37.08121416,37.4066511,37.00682858,37.30437092,19504072
CocaCola,2015-08-31,39.13,39.45,39.0549,39.32,12673260,0,1,36.07166339,36.36665271,36.00243308,36.2468133,12673260
CocaCola,2015-07-31,40.88,41.22,40.77,41.08,15309490,0,1,37.68488626,37.99831242,37.58348368,37.86925459,15309490
CocaCola,2015-06-30,39.61,39.61,39.12,39.23,14621325,0,1,36.51414738,36.51414738,36.06244497,36.16384755,14621325
CocaCola,2015-05-31,41.18,41.18,40.765,40.96,19628500,0,1,37.65158778,37.65158778,37.27214609,37.45043797,19628500
CocaCola,2015-04-30,40.4,40.58,40.28,40.56,12700657,0,1,36.93842026,37.10299738,36.82870218,37.08471103,12700657
CocaCola,2015-03-31,40.51,40.9,40.35,40.55,16604480,0,1,37.03899517,37.39557893,36.89270439,37.07556786,16604480
CocaCola,2015-02-28,42.52,43.66,42.47,43.3,28312800,0,1,38.56309733,39.59700916,38.51775032,39.27051069,28312800
CocaCola,2015-01-31,41.83,41.93,41.11,41.17,19192694,0,1,37.93730859,38.02800261,37.28431165,37.33872806,19192694
CocaCola,2014-12-31,42.92,42.94,42.22,42.22,9369464,0,1,38.92587341,38.94401222,38.29101527,38.29101527,9369464
